kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_75.ptx 146 : 1024 5120 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 145 : 1024 36000 0 0 0 256 32 0 0 
matrixMul.1.sm_75.ptx 144 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 143 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 142 : 1024 6368 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 141 : 1024 10592 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 140 : 1024 6112 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 139 : 1024 9216 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 138 : 1024 5664 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 137 : 1024 10272 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 136 : 1024 6144 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 135 : 1024 5120 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 132 : 6144 26336 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 131 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 130 : 6144 66240 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 129 : 6144 62784 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 128 : 6144 30720 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 127 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 126 : 6144 153600 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 125 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 124 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 123 : 6144 153632 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 122 : 6144 147488 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 121 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 120 : 6144 157152 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 119 : 6144 150912 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 118 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 117 : 6144 159936 0 384 192 0 0 0 0 
matrixMul.1.sm_75.ptx 116 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 115 : 6144 36864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 70 : 6144 55296 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 69 : 6144 56256 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 66 : 1024 6752 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 65 : 1024 6880 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 64 : 1024 7136 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 63 : 1024 7680 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 62 : 1024 10528 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 61 : 1024 10208 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 60 : 1024 10112 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 59 : 1024 7232 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 58 : 1024 11552 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 57 : 1024 9856 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 56 : 1024 6784 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 55 : 1024 9664 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 54 : 1024 8096 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 53 : 1024 7872 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 52 : 1024 11200 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 51 : 1024 5120 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 39 : 1024 17728 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 38 : 1024 323584 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 37 : 1024 322240 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 36 : 1024 320512 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 71 : 6144 55296 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 34 : 1024 317152 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 113 : 6144 147456 0 192 192 0 0 0 0 
matrixMul.1.sm_75.ptx 72 : 6144 1522432 0 0 0 1536 192 0 0 
matrixMul.1.sm_75.ptx 35 : 1024 318784 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 114 : 6144 153600 0 384 192 0 0 0 0 
