index,Sp_tot,Sp_SDC,Perc_inv
1,NA,NA,0.752000
2,0.546758,0.453382,0.764471
3,0.683701,0.789164,0.734000
4,0.843833,0.847546,0.726000
5,0.915550,0.914795,0.786427
6,0.937777,0.963627,0.742000
7,0.930645,0.935920,0.742515
8,0.955174,0.970125,0.734531
9,0.980168,0.971850,0.758000
10,0.977867,0.926407,0.762000
11,0.976021,0.999787,0.756487
12,0.982951,0.977408,0.774000
13,0.984570,0.999887,0.756972
14,0.988300,0.958517,0.758483
15,0.990075,0.980147,0.786853
16,0.992647,0.999999,0.776000
17,0.991420,0.999996,0.738523
18,0.992540,0.999997,0.730539
19,0.993373,0.999905,0.752000
20,0.994533,0.999975,0.762948
21,0.994183,0.981078,0.732535
22,0.995122,0.999968,0.746000
23,0.995505,0.979826,0.714571
24,0.995690,0.982746,0.723658
25,0.996415,0.967731,0.758000
26,0.996502,0.999999,0.740000
27,0.997199,0.999900,0.750499
28,0.996526,0.999962,0.726000
29,0.997573,0.999942,0.754980
30,0.997883,0.984630,0.745020
31,0.997453,0.999999,0.764000
32,0.998341,0.999999,0.800399
33,0.998390,0.970874,0.784431
34,0.998314,0.999989,0.742000
35,0.998148,0.985857,0.760479
36,0.998207,0.972989,0.730000
37,0.998055,0.999974,0.735060
38,0.998064,0.986830,0.748503
39,0.998351,0.987172,0.726547
40,0.998821,1.000000,0.766932
41,0.998375,0.964009,0.746507
42,0.998797,1.000000,0.770459
43,0.998730,0.988286,0.768924
44,0.998849,0.999878,0.756487
45,0.999008,0.988607,0.774900
46,0.998710,0.999881,0.744000
47,0.998845,0.988897,0.740519
48,0.998895,0.999888,0.776447
49,0.998824,0.989205,0.757455
50,0.999017,0.999994,0.768000
51,0.998890,0.999872,0.744000
52,0.999095,1.000000,0.760479
53,0.999018,0.979305,0.742000
54,0.999185,0.999996,0.760956
55,0.999106,0.999875,0.720559
56,0.999218,0.989928,0.762475
57,0.999253,0.999988,0.750996
58,0.999367,0.990093,0.756487
59,0.999151,0.999868,0.752000
60,0.999221,0.999779,0.746000
61,0.999301,0.999997,0.719124
